"","E","N","group","country","long","lat"
"11014",4387,4630,21,40,11.3783282603944,64.7710169790292
"11015",4383,4628,21,40,11.2939727211591,64.7536566040101
"11016",4383,4636,21,40,11.2973440675467,64.8258645885056
"11017",4385,4644,21,40,11.3426839445371,64.8977350538804
"11018",4391,4652,21,40,11.4723747295781,64.9688567909805
"11019",4422,4676,21,40,12.1409314185334,65.1782450260873
"11020",4426,4672,21,40,12.222719442715,65.1410128638523
"11021",4430,4666,21,40,12.3027668131353,65.0856925853534
"11022",4439,4667,21,40,12.4935636122575,65.091922587644
"11023",4449,4680,21,40,12.7163183119104,65.2058516381527
"11024",4457,4695,21,40,12.9003182731252,65.3382861165819
"11025",4453,4692,21,40,12.8122996263462,65.3126971058561
"11026",4448,4686,21,40,12.7004908501935,65.2603420305466
"11027",4439,4678,21,40,12.5026446674006,65.1911837672602
"11028",4435,4677,21,40,12.4170805891671,65.1834336289284
"11029",4432,4678,21,40,12.3543037234091,65.1933851894405
"11030",4430,4683,21,40,12.3157530442077,65.2391160916551
"11031",4427,4684,21,40,12.2528114237043,65.2490294462832
"11032",4424,4683,21,40,12.1883700414879,65.2408663476442
"11033",4421,4687,21,40,12.1274986917372,65.2778107292647
"11034",4420,4696,21,40,12.1125628440539,65.3593293000805
"11035",4423,4710,21,40,12.1867625497746,65.4848825546492
"11036",4426,4719,21,40,12.2578583642702,65.5652726389436
"11037",4429,4726,21,40,12.3278124178315,65.627580098997
"11038",4442,4746,21,40,12.6255123654849,65.8039730923434
"11039",4444,4756,21,40,12.6779949090898,65.8935713118645
"11040",4450,4762,21,40,12.8142632376187,65.9456034610377
"11041",4457,4761,21,40,12.9657691560341,65.9339475099559
"11042",4459,4763,21,40,13.0113919472603,65.9512258247432
"11043",4457,4770,21,40,12.974952560008,66.0151974729168
"11044",4448,4775,21,40,12.7830991561114,66.0637095258803
"11045",4447,4779,21,40,12.7650254987601,66.100189922261
"11046",4474,4789,21,40,13.3682892323523,66.1797114130685
"11047",4487,4789,21,40,13.6539526510161,66.1737767564468
"11048",4491,4794,21,40,13.7483224524296,66.2169730797844
"11049",4498,4797,21,40,13.9064031202828,66.2405596134892
"11050",4503,4803,21,40,14.0248997261438,66.2921165115741
"11051",4500,4805,21,40,13.9614700450855,66.311720086609
"11052",4487,4800,21,40,13.6679488058576,66.2730498216434
"11053",4479,4797,21,40,13.4878545969248,66.2496951754064
"11054",4475,4797,21,40,13.3997041783673,66.2514867912642
"11055",4472,4795,21,40,13.3312649933955,66.2347453112552
"11056",4462,4794,21,40,13.1098897516624,66.2299056289824
"11057",4459,4816,21,40,13.0672978506574,66.4297727052999
"11058",4460,4828,21,40,13.1025700578053,66.5377485296681
"11059",4463,4828,21,40,13.1694352124968,66.5365233186098
"11060",4464,4839,21,40,13.2041641964494,66.6354564798714
"11061",4468,4846,21,40,13.3018475792701,66.6969843778378
"11062",4474,4848,21,40,13.4388349310465,66.7124118434556
"11063",4477,4851,21,40,13.5098905469506,66.7381457590251
"11064",4481,4857,21,40,13.6074326312147,66.7904731286557
"11065",4489,4856,21,40,13.7860836324245,66.7775884872101
"11066",4496,4858,21,40,13.9463032368075,66.7921169929051
"11067",4494,4860,21,40,13.9040928064407,66.8111958154462
"11068",4484,4863,21,40,13.6828340597786,66.8432289327306
"11069",4482,4869,21,40,13.645569195628,66.8983681119881
"11070",4485,4873,21,40,13.718704993935,66.9330507499862
"11071",4488,4876,21,40,13.7906791579469,66.9586729944347
"11072",4491,4876,21,40,13.8586281636814,66.9571762290732
"11073",4497,4889,21,40,14.013296225669,67.071479690565
"11074",4500,4894,21,40,14.0889430891761,67.1150399245111
"11075",4505,4893,21,40,14.2013433029702,67.1033061359497
"11076",4510,4899,21,40,14.3246135781228,67.1546897667906
"11077",4516,4898,21,40,14.4598871015843,67.1422230593789
"11078",4521,4901,21,40,14.5788873212317,67.1663493889237
"11079",4529,4904,21,40,14.7666460007285,67.1885413356971
"11080",4557,4907,21,40,15.4116270312176,67.1969992453867
"11081",4557,4912,21,40,15.4215016737459,67.2420788833743
"11082",4551,4913,21,40,15.2861695036217,67.2552897079875
"11083",4530,4912,21,40,14.8034823172285,67.2601023450411
"11084",4520,4912,21,40,14.5743748882638,67.266225728812
"11085",4515,4910,21,40,14.4565225425128,67.2511214944789
"11086",4514,4912,21,40,14.4368591687504,67.2697563846167
"11087",4514,4915,21,40,14.4417318935527,67.2968384817043
"11088",4517,4919,21,40,14.5171852209477,67.3311920507371
"11089",4519,4925,21,40,14.5732033539157,67.3841663599064
"11090",4525,4938,21,40,14.7339753027715,67.4978638588037
"11091",4534,4947,21,40,14.9585936487044,67.5733909617133
"11092",4541,4945,21,40,15.1171343798685,67.550732838663
"11093",4549,4938,21,40,15.2887379221491,67.4821430229983
"11094",4554,4937,21,40,15.402230024956,67.4696309174914
"11095",4556,4935,21,40,15.44437995605,67.4501773599553
"11096",4561,4924,21,40,15.5372466462311,67.3474072815075
"11097",4563,4924,21,40,15.5831797203921,67.3459549230347
