"","E","N","group","long","lat"
"2380",2939.92042917733,2171.08416608971,23,-6.56349645999989,41.2707119687574
"2381",2940.77010813978,2171.45198955587,23,-6.55445308399993,41.2756212307597
"2382",2945.99655120522,2172.48102318197,23,-6.49585201099989,41.2949482157687
"2383",2949.09896411359,2173.96870222886,23,-6.46314082899991,41.3141201717773
"2384",2952.28055729502,2176.09182642875,23,-6.43099808699989,41.3390282127887
"2385",2955.70054527839,2179.70172389169,23,-6.39957881699986,41.3774754788061
"2386",2956.0548879116,2179.72885879837,23,-6.39549637799993,41.3784056538067
"2387",2957.01940562263,2179.30373931787,23,-6.38319738799989,41.3765453028058
"2388",2957.36952553296,2179.33188592893,23,-6.37916662599991,41.3774754788061
"2389",2957.69017728107,2179.88915073084,23,-6.37673783299994,41.3830048568087
"2390",2957.95960388849,2180.71611931926,23,-6.37554927599993,41.3908079978122
"2391",2958.04239131398,2181.38478053692,23,-6.37616939299988,41.3968541398151
"2392",2957.80766410011,2181.4896059247,23,-6.37916662599992,41.3973192278152
"2393",2959.03702070425,2182.10995335483,23,-6.36624751799987,41.4051740468187
"2394",2960.26323004918,2182.30257125389,23,-6.35234655799991,41.4092564848206
"2395",2962.85307981061,2181.93014810891,23,-6.32113399199994,41.4110134828215
"2396",2963.05033002339,2182.86117679241,23,-6.32103063999991,41.4195917708254
"2397",2967.17450134285,2187.1828867672,23,-6.28294510899986,41.4656354718462
"2398",2967.3589616323,2187.89956234118,23,-6.28248002099994,41.4723017318494
"2399",2967.28602211445,2188.67291786191,23,-6.28516719499988,41.4789679918524
"2400",2967.40073778396,2189.54585660868,23,-6.28589066599994,41.4868744858559
"2401",2968.1422732199,2190.53322289994,23,-6.27953446399994,41.4970030658605
"2402",2970.70605408316,2192.29982847445,23,-6.25364457199989,41.5175186098698
"2403",2975.75407543948,2197.18512342624,23,-6.20594722499993,41.5702802468938
"2404",2975.13898355856,2198.43523334221,23,-6.21612748199991,41.5800987688982
"2405",2974.32606793529,2200.29538657621,23,-6.23008011899988,41.5949040669049
"2406",2971.62216336454,2204.6764721682,23,-6.27224808799985,41.6282353659198
"2407",2968.45201803599,2207.86506267033,23,-6.31710323099995,41.6501461739296
"2408",2964.77433030466,2210.20826132968,23,-6.36593745999992,41.6636078839359
"2409",2958.45324625072,2213.04828701899,23,-6.44706945799996,41.6762427719416
"2410",2957.34197404528,2213.33107873414,23,-6.46081538999988,41.6765528299416
"2411",2956.67854872804,2212.96779164621,23,-6.46774003099995,41.6720569809395
"2412",2956.00400797443,2212.4219559153,23,-6.47435461499987,41.6659333239369
"2413",2954.7309090443,2211.89517460704,23,-6.4880488689999,41.6588019759336
"2414",2953.38421341929,2211.54663677584,23,-6.50303503399996,41.653091730931
"2415",2952.4906364184,2211.4995552522,23,-6.51342199699988,41.6509213199301
"2416",2950.38206075703,2212.87933741781,23,-6.54153397699992,41.6589053289336
"2417",2949.62206768477,2214.86859063026,23,-6.55527990699995,41.6748991849409
"2418",2949.63586265775,2217.09008339121,23,-6.56049922699986,41.6944587149497
"2419",2949.84220992487,2219.15679043752,23,-6.56308304899989,41.713036390958
"2420",2949.67934730386,2220.26308299703,23,-6.56768225099992,41.7224415019623
"2421",2949.33073512105,2221.32000613929,23,-6.57434851099992,41.7310456279661
"2422",2949.27787432741,2222.31939379942,23,-6.57739741999996,41.7397272689699
"2423",2949.9691499143,2223.24282526014,23,-6.57150630699996,41.7492098939742
"2424",2950.73436336425,2224.01451381749,23,-6.56437495899994,41.7575039619779
"2425",2951.28881429946,2224.95697489511,23,-6.56013749199988,41.7668832339822
"2426",2955.09990799265,2233.39572494723,23,-6.53574621599996,41.8485836730187
"2427",2956.45642547979,2235.23443242723,23,-6.52422237199991,41.867419734027
"2428",2954.50678275162,2236.40611665228,23,-6.55006058799992,41.87387928703
"2429",2953.10646325781,2236.9466884664,23,-6.56788895699989,41.8758688300308
"2430",2952.62366322982,2237.85466758141,23,-6.57579545099992,41.8828968250341
"2431",2954.25570636459,2242.4001492663,23,-6.56763057499989,41.9260724840532
"2432",2954.30119292549,2244.2713243741,23,-6.57166133599989,41.9426089420606
"2433",2953.48037341589,2245.82575025252,23,-6.58514888599996,41.9546495510659
"2434",2951.68353264245,2247.10326563888,23,-6.60948848499987,41.9623235010694
"2435",2950.12257745372,2245.02337568053,23,-6.62282100399992,41.9409552960599
"2436",2947.19643855966,2244.78671125359,23,-6.65677241999993,41.9330746410564
"2437",2941.38258854933,2245.84974917293,23,-6.72798254399987,41.9308525530554
"2438",2939.11404663173,2247.12963195001,23,-6.7579031979999,41.9375704900583
"2439",2937.12297037731,2252.38085474491,23,-6.79438675999992,41.9797126200771
"2440",2934.74672300392,2253.38470956198,23,-6.82492753099992,41.9837692200789
"2441",2933.55585974153,2250.2610694454,23,-6.83123205599992,41.9539519190655
"2442",2931.3859970291,2249.50339912528,23,-6.85495153799988,41.9429448390608
"2443",2926.27031399191,2250.2369633862,23,-6.91711828599995,41.9390949440591
"2444",2924.103548474,2251.22043526469,23,-6.94512691199989,41.943358251061
"2445",2922.46181698893,2253.23197768202,23,-6.96951818799991,41.9576984600673
"2446",2921.45742437842,2254.06699846774,23,-6.98345618299994,41.9629961600696
"2447",2920.81599864667,2254.60046609642,23,-6.99235917099991,41.9663801010711
"2448",2918.63085723272,2253.65628452964,23,-7.01576859499989,41.9536676990655
"2449",2915.49225534655,2253.05404666396,23,-7.05127030399992,41.9420146630603
"2450",2913.19858419172,2254.81344288957,23,-7.08274125199995,41.952789199065
"2451",2911.19547652459,2257.51676596106,23,-7.11317867099993,41.9724262440739
"2452",2908.94605576428,2259.75724297387,23,-7.1453730879999,41.9874899230806
"2453",2907.74531282215,2259.83663930473,23,-7.15973913599989,41.9857329250798
"2454",2906.1551656999,2259.36782344043,23,-7.17730912299987,41.9783690330765
"2455",2904.71580693402,2258.7050467609,23,-7.19260534699993,41.9696098780727
"2456",2903.98577880992,2258.20382043708,23,-7.1999434,41.96371876507
"2457",2903.48420526162,2256.7271071965,23,-7.20211381099989,41.9497402890638
"2458",2903.25068262048,2253.09020689717,23,-7.19565425599996,41.9173650050494
"2459",2902.69689348014,2251.41069376876,23,-7.19792801899996,41.9015003400422
"2460",2901.48839665424,2250.28608506886,23,-7.20931611799995,41.8891608670368
"2461",2900.49764200181,2249.36447180358,23,-7.21865026899991,41.8790469310323
"2462",2897.48549799714,2248.31932368096,23,-7.25146480299992,41.8636990300255
"2463",2891.31463703033,2247.68166681575,23,-7.32246822099989,41.8454055730173
"2464",2889.80448545581,2247.78661689916,23,-7.3405032959999,41.8432093250163
"2465",2886.88614319285,2248.56898269993,23,-7.37683182799987,41.8440361470166
"2466",2885.61912946145,2248.64119413539,23,-7.39192134599998,41.8420466050157
"2467",2884.36708085197,2248.1559187821,23,-7.40540889499994,41.8351994780127
"2468",2881.92699014491,2246.37188451783,23,-7.4295417889999,41.8145030670035
"2469",2880.65909412151,2245.69634750765,23,-7.44271927899996,41.8059506169996
"2470",2880.69182586708,2247.50175615928,23,-7.44695674699992,41.8218411200068
"2471",2880.32575805816,2249.57279777635,23,-7.45656856299986,41.8392302390146
"2472",2879.60467243395,2251.26238151595,23,-7.46938431899991,41.8525369200205
"2473",2878.56810488255,2251.92724052307,23,-7.48328527899989,41.8562059480222
"2474",2877.79953111645,2252.18949485881,23,-7.49300044799994,41.8569035800224
"2475",2876.76665946305,2253.352259748,23,-7.50814164299995,41.8649392640259
"2476",2876.14578720107,2253.50591178878,23,-7.51584143099993,41.8649909410261
"2477",2875.42983650613,2253.12486750235,23,-7.52328283699996,41.8601591950239
"2478",2875.12881183781,2252.51233355268,23,-7.52524654099989,41.8541647280211
"2479",2874.87973928645,2251.79600708189,23,-7.52633174699989,41.8473692770181
"2480",2874.28671417506,2251.11443044591,23,-7.53155106699992,41.8401604150149
"2481",2872.87014342684,2250.52597189659,23,-7.54669226099992,41.8320472150112
"2482",2871.09058174364,2250.32821558343,23,-7.56710445199988,41.8265953520088
"2483",2869.31309352794,2250.48145770792,23,-7.58839514199985,41.8242182360079
"2484",2867.91608708925,2250.96601354575,23,-7.60606848099985,41.8255359850084
"2485",2866.77527743357,2252.01500535946,23,-7.62219152899984,41.8323314360114
"2486",2866.9497070893,2253.04709822848,23,-7.62281164499989,41.8417365460157
"2487",2868.9483585204,2256.15892104991,23,-7.60736039199992,41.8731816560296
"2488",2864.6459674508,2257.38804060381,23,-7.66115555799994,41.8749128160305
"2489",2863.38578990269,2258.42556327403,23,-7.67867386899988,41.8813465310333
"2490",2861.50780597289,2260.580185137,23,-7.70637243699992,41.8962551820401
"2491",2860.3163254401,2261.20957932973,23,-7.72203039599986,41.8992524150414
"2492",2857.78643350606,2260.57718691425,23,-7.75014237499991,41.8883745260364
"2493",2852.51173499271,2260.56871789465,23,-7.81215409299995,41.8771349030315
"2494",2850.35686975958,2261.23296020932,23,-7.83923254399991,41.8783751370321
"2495",2849.44739552393,2261.15551121607,23,-7.84972285999987,41.8757654770308
"2496",2848.93483180508,2260.65104384654,23,-7.85442541499993,41.8702619370283
"2497",2848.49853364172,2260.01586565584,23,-7.85788773599998,41.8637765450255
"2498",2847.79716136521,2259.51303265511,23,-7.86481237799996,41.8578854310229
"2499",2845.23383144626,2260.14248365278,23,-7.89659338399989,41.8579371070229
"2500",2845.38842870726,2263.40664920795,23,-7.90336299599994,41.8868242340357
"2501",2845.82356809657,2266.38996959286,23,-7.90610184699988,41.9138510080479
"2502",2844.09831567507,2266.16080253597,23,-7.92579056799993,41.9081666000452
"2503",2843.43974741267,2265.00706392796,23,-7.9304931229999,41.8966685940401
"2504",2842.64171145491,2263.2907406847,23,-7.93535070799993,41.8799512680326
"2505",2841.56716695426,2262.06731708345,23,-7.94475581899987,41.8669546460269
"2506",2840.05840422105,2262.3975332607,23,-7.96335933499993,41.8666187490267
"2507",2838.81060851613,2262.9301676156,23,-7.97943070499992,41.8686082910277
"2508",2837.54417618304,2262.67590821218,23,-7.99364172399987,41.8636731920255
"2509",2836.31940472163,2261.86509568487,23,-8.0058890379999,41.8539580230212
"2510",2835.2329470871,2260.75167717098,23,-8.01570756099995,41.8418915750158
"2511",2831.95821940205,2258.63911156285,23,-8.04857377099989,41.8163892560043
"2512",2831.79730626916,2258.63257344271,23,-8.05044571699989,41.8159864320041
"2513",2828.09775937033,2258.4834250159,23,-8.09348059099989,41.806725763
"2514",2821.24906423976,2260.62945966164,23,-8.17957352699989,41.8107048480017
"2515",2821.32089806712,2260.82993828132,23,-8.17926510099994,41.8126125190027
"2516",2822.22391667674,2263.35029689337,23,-8.17538773599995,41.8365947410134
"2517",2822.41690574406,2264.81908988746,23,-8.17704138199989,41.8498497460194
"2518",2822.00279737246,2265.82329260325,23,-8.18458614099995,41.8577304020228
"2519",2819.37469617078,2267.67219276193,23,-8.22039790899986,41.8681948800275
"2520",2818.90383760757,2269.83231408372,23,-8.23171504799994,41.8860490870354
"2521",2819.48482513677,2271.82007020504,23,-8.23021643099986,41.9046784410437
"2522",2820.69599339301,2273.5834029615,23,-8.22070796699995,41.9227135150517
"2523",2824.85499092686,2277.43994597195,23,-8.18213150999989,41.9654240870707
"2524",2827.72915440496,2279.17672205566,23,-8.15296016399986,41.9868181300803
"2525",2830.41178695987,2280.12511158967,23,-8.12391800899988,42.0008999580864
"2526",2831.93565708034,2280.89310237765,23,-8.10802750699986,42.0108993470909
"2527",2833.1029831405,2282.04485556455,23,-8.09735632299992,42.0234825590965
"2528",2833.71427699374,2283.88949929502,23,-8.09508255999991,42.0409233551043
"2529",2833.4279591169,2285.66283412686,23,-8.10319576099993,42.0558061671108
"2530",2832.47501564403,2287.16327556025,23,-8.11844030799998,42.0668649231157
"2531",2831.08367261451,2288.19877325954,23,-8.1376122639999,42.0729110661184
"2532",2829.37737189154,2288.4462817213,23,-8.15838618999993,42.0713866111176
"2533",2827.7983221222,2288.13640271427,23,-8.17616288299996,42.065262954115
"2534",2826.50356968316,2288.09351612312,23,-8.19130407699987,42.0620848531136
"2535",2825.66704439678,2289.15563596788,23,-8.20401647999992,42.0695520981168
"2536",2825.79857558312,2290.98026387336,23,-8.20737544799994,42.085778498124
"2537",2827.10755324829,2295.57972647052,23,-8.20432653799991,42.128799127143
"2538",2826.75667703627,2297.40889492555,23,-8.21339575199988,42.1440178371498
"2539",2826.27564116185,2298.62867941224,23,-8.22236161299992,42.1536296541539
"2540",2823.47399197566,2297.4883732116,23,-8.25233394399995,42.1375841221468
"2541",2821.86401143438,2297.25025482786,23,-8.27067907699992,42.1320030661445
"2542",2820.47379382915,2297.53166791563,23,-8.28783565299989,42.1314346261442
"2543",2819.83525936855,2297.53708387592,23,-8.29538041199995,42.1300910391437
"2544",2819.01631994679,2297.25325824826,23,-8.30426875799987,42.1258277331418
"2545",2816.52327931584,2295.88467181616,23,-8.32995194499994,42.108438613134
"2546",2815.00786985762,2295.49132721839,23,-8.34674678599989,42.101694839131
"2547",2802.1519088036,2296.5907967446,23,-8.50120764199989,42.0830913241228
"2548",2800.50809604809,2296.39005580491,23,-8.52001786299988,42.0777169741204
"2549",2797.3031919247,2295.17815579466,23,-8.55443436699995,42.0600694721128
"2550",2795.68682950243,2294.93900377476,23,-8.57280533799994,42.0544109031101
"2551",2792.73094597116,2295.60294218851,23,-8.60941809099999,42.0536615951099
"2552",2791.2633139157,2295.67369026813,23,-8.62688472499991,42.0510260971087
"2553",2789.65836316819,2294.98880426183,23,-8.64388627199994,42.0414917961044
"2554",2788.70748983895,2294.07846423922,23,-8.6525679119999,42.0314407300999
"2555",2787.30768524628,2291.96429308229,23,-8.66321325699989,42.0098916570904
"2556",2786.4427830778,2291.02928344237,23,-8.67080969199986,41.999814752086
"2557",2784.5415223673,2290.34376723664,23,-8.69127355899991,41.9896086580814
"2558",2782.32756582027,2290.23929282354,23,-8.71700842299989,41.9837692200789
"2559",2780.29488497793,2289.76622559406,23,-8.73959102399994,41.9751134180751
"2560",2779.23886319015,2289.33302308078,23,-8.75080318899993,41.9689802040723
"2561",2777.92663973096,2287.78832420201,23,-8.76195227799985,41.952582092065
"2562",2776.31862545283,2286.43156342061,23,-8.77708899599986,41.9371605430582
"2563",2774.55571390114,2285.56748492587,23,-8.79539954299992,41.9256859340531
"2564",2772.78779050502,2285.50784271432,23,-8.81598873599994,41.9212100220511
"2565",2771.24984247113,2285.07216285618,23,-8.83283443899995,41.9139671840479
"2566",2769.59861431743,2283.83506815394,23,-8.84878495999987,41.8994815060414
"2567",2768.05327556306,2283.01912603674,23,-8.8646541009999,41.8889020790367
"2568",2766.83172630029,2283.83796145042,23,-8.88125566299993,41.8932966110386
"2569",2767.38827519606,2285.28178389361,23,-8.87873287699992,41.9071312460448
"2570",2770.78289992494,2306.73874013626,23,-8.89858964799992,42.101752014131
"2571",2771.47537842557,2308.54935774451,23,-8.89549719999986,42.1190859991386
"2572",2772.52668908448,2309.07659461279,23,-8.88459225199989,42.1260440061419
"2573",2775.71325211337,2308.32077304533,23,-8.84496008999986,42.1266136681421
"2574",2777.28858799018,2308.3636760794,23,-8.82652747299991,42.1305199181438
"2575",2778.1197633138,2309.20510540399,23,-8.81908118399986,42.1397158811478
"2576",2777.95045706234,2310.15436730494,23,-8.82371985599988,42.1476097621513
"2577",2776.60176655598,2311.28573731785,23,-8.84276282499985,42.1544456991543
"2578",2776.42685528224,2312.06383873448,23,-8.84699459499999,42.1608340461572
"2579",2776.91254574872,2312.3356871244,23,-8.84203040299994,42.1642927041587
"2580",2779.2569895643,2312.90455619047,23,-8.81598873599995,42.1745059211631
"2581",2779.56597235785,2313.30602580729,23,-8.81346594999985,42.1786970011649
